"Accession_title","UID","Species","Length","Location"
"HQ428115Barbicambarus cornutus isolate 252 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","311977056","Barbicambarus cornutus","630","252"
"MT183601Lacunicambarus freudensteini voucher MGG_758_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441103","Lacunicambarus freudensteini","585","MGG_758_CO1"
"MT183600Lacunicambarus freudensteini voucher MGG_756_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441101","Lacunicambarus freudensteini","585","MGG_756_CO1"
"MT183599Lacunicambarus freudensteini voucher MGG_753_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441099","Lacunicambarus freudensteini","585","MGG_753_CO1"
"MT183598Lacunicambarus freudensteini voucher MGG_752_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441097","Lacunicambarus freudensteini","585","MGG_752_CO1"
"MT183597Lacunicambarus freudensteini voucher MGG_751_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441095","Lacunicambarus freudensteini","585","MGG_751_CO1"
"MT183592Lacunicambarus freudensteini voucher MGG_744_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441085","Lacunicambarus freudensteini","585","MGG_744_CO1"
"MT183591Lacunicambarus freudensteini voucher MGG_743_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441083","Lacunicambarus freudensteini","585","MGG_743_CO1"
"MT183581Lacunicambarus freudensteini voucher MGG_726_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441063","Lacunicambarus freudensteini","585","MGG_726_CO1"
"MT183580Lacunicambarus freudensteini voucher MGG_725_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441061","Lacunicambarus freudensteini","585","MGG_725_CO1"
"MT183577Lacunicambarus freudensteini voucher MGG_718_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441055","Lacunicambarus freudensteini","585","MGG_718_CO1"
"MT183576Lacunicambarus freudensteini voucher MGG_717_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441053","Lacunicambarus freudensteini","585","MGG_717_CO1"
"JX514475Cambarus ludovicianus voucher KC7331 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","409052689","Cambarus ludovicianus","659","KC7331"
"MT183588Lacunicambarus ludovicianus voucher MGG_739_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441077","Lacunicambarus ludovicianus","585","MGG_739_CO1"
"MT183587Lacunicambarus ludovicianus voucher MGG_738_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441075","Lacunicambarus ludovicianus","585","MGG_738_CO1"
"KF827990Cambarus miltus voucher KC5176 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","669056258","Cambarus miltus","657","KC5176"
"JX514476Cambarus miltus voucher KC5176 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","409052691","Cambarus miltus","659","KC5176"
"MT183572Lacunicambarus miltus voucher MGG_702_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441045","Lacunicambarus miltus","585","MGG_702_CO1"
"MT183571Lacunicambarus miltus voucher MGG_701_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441043","Lacunicambarus miltus","585","MGG_701_CO1"
"MT183570Lacunicambarus miltus voucher MGG_699_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441041","Lacunicambarus miltus","585","MGG_699_CO1"
"MT183569Lacunicambarus miltus voucher MGG_698_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441039","Lacunicambarus miltus","585","MGG_698_CO1"
"MT183568Lacunicambarus miltus voucher MGG_697_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441037","Lacunicambarus miltus","585","MGG_697_CO1"
"MT183567Lacunicambarus miltus voucher MGG_696_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441035","Lacunicambarus miltus","585","MGG_696_CO1"
"MT183566Lacunicambarus miltus voucher MGG_695_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441033","Lacunicambarus miltus","585","MGG_695_CO1"
"MT183565Lacunicambarus miltus voucher MGG_694_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441031","Lacunicambarus miltus","585","MGG_694_CO1"
"MT183564Lacunicambarus miltus voucher MGG_693_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441029","Lacunicambarus miltus","585","MGG_693_CO1"
"MT183563Lacunicambarus miltus voucher MGG_692_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441027","Lacunicambarus miltus","585","MGG_692_CO1"
"MT183536Lacunicambarus miltus voucher MGG_650_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820440973","Lacunicambarus miltus","585","MGG_650_CO1"
"MT183535Lacunicambarus miltus voucher MGG_649_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820440971","Lacunicambarus miltus","585","MGG_649_CO1"
"MT183532Lacunicambarus miltus voucher MGG_646_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820440965","Lacunicambarus miltus","585","MGG_646_CO1"
"MT183531Lacunicambarus miltus voucher MGG_645_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820440963","Lacunicambarus miltus","585","MGG_645_CO1"
"MT183530Lacunicambarus miltus voucher MGG_644_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820440961","Lacunicambarus miltus","585","MGG_644_CO1"
"MT183527Lacunicambarus miltus voucher MGG_641_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820440955","Lacunicambarus miltus","585","MGG_641_CO1"
"MT183607Lacunicambarus mobilensis voucher MGG_764_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441115","Lacunicambarus mobilensis","585","MGG_764_CO1"
"MT183606Lacunicambarus mobilensis voucher MGG_763_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441113","Lacunicambarus mobilensis","585","MGG_763_CO1"
"MT183605Lacunicambarus mobilensis voucher MGG_762_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441111","Lacunicambarus mobilensis","585","MGG_762_CO1"
"MT183604Lacunicambarus mobilensis voucher MGG_761_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441109","Lacunicambarus mobilensis","585","MGG_761_CO1"
"MT183596Lacunicambarus mobilensis voucher MGG_750_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441093","Lacunicambarus mobilensis","585","MGG_750_CO1"
"MT183595Lacunicambarus mobilensis voucher MGG_749_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441091","Lacunicambarus mobilensis","585","MGG_749_CO1"
"MT183594Lacunicambarus mobilensis voucher MGG_746_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441089","Lacunicambarus mobilensis","585","MGG_746_CO1"
"MT183593Lacunicambarus mobilensis voucher MGG_745_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441087","Lacunicambarus mobilensis","585","MGG_745_CO1"
"MT183590Lacunicambarus mobilensis voucher MGG_742_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441081","Lacunicambarus mobilensis","585","MGG_742_CO1"
"MT183589Lacunicambarus mobilensis voucher MGG_741_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441079","Lacunicambarus mobilensis","585","MGG_741_CO1"
"MT183586Lacunicambarus mobilensis voucher MGG_737_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441073","Lacunicambarus mobilensis","585","MGG_737_CO1"
"MT183585Lacunicambarus mobilensis voucher MGG_736_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441071","Lacunicambarus mobilensis","585","MGG_736_CO1"
"MT183584Lacunicambarus mobilensis voucher MGG_735_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441069","Lacunicambarus mobilensis","585","MGG_735_CO1"
"MT183583Lacunicambarus mobilensis voucher MGG_734_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441067","Lacunicambarus mobilensis","585","MGG_734_CO1"
"MT183579Lacunicambarus mobilensis voucher MGG_721_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441059","Lacunicambarus mobilensis","585","MGG_721_CO1"
"MT183578Lacunicambarus mobilensis voucher MGG_720_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441057","Lacunicambarus mobilensis","585","MGG_720_CO1"
"MT183575Lacunicambarus mobilensis voucher MGG_710_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441051","Lacunicambarus mobilensis","585","MGG_710_CO1"
"MT183574Lacunicambarus mobilensis voucher MGG_709_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441049","Lacunicambarus mobilensis","585","MGG_709_CO1"
"MT183573Lacunicambarus mobilensis voucher MGG_708_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441047","Lacunicambarus mobilensis","585","MGG_708_CO1"
"MT183607Lacunicambarus mobilensis voucher MGG_764_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441115","Lacunicambarus mobilensis","585","MGG_764_CO1"
"MT183606Lacunicambarus mobilensis voucher MGG_763_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441113","Lacunicambarus mobilensis","585","MGG_763_CO1"
"MT183605Lacunicambarus mobilensis voucher MGG_762_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441111","Lacunicambarus mobilensis","585","MGG_762_CO1"
"MT183604Lacunicambarus mobilensis voucher MGG_761_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441109","Lacunicambarus mobilensis","585","MGG_761_CO1"
"MT183596Lacunicambarus mobilensis voucher MGG_750_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441093","Lacunicambarus mobilensis","585","MGG_750_CO1"
"MT183595Lacunicambarus mobilensis voucher MGG_749_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441091","Lacunicambarus mobilensis","585","MGG_749_CO1"
"MT183594Lacunicambarus mobilensis voucher MGG_746_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441089","Lacunicambarus mobilensis","585","MGG_746_CO1"
"MT183593Lacunicambarus mobilensis voucher MGG_745_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441087","Lacunicambarus mobilensis","585","MGG_745_CO1"
"MT183590Lacunicambarus mobilensis voucher MGG_742_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441081","Lacunicambarus mobilensis","585","MGG_742_CO1"
"MT183589Lacunicambarus mobilensis voucher MGG_741_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441079","Lacunicambarus mobilensis","585","MGG_741_CO1"
"MT183586Lacunicambarus mobilensis voucher MGG_737_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441073","Lacunicambarus mobilensis","585","MGG_737_CO1"
"MT183585Lacunicambarus mobilensis voucher MGG_736_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441071","Lacunicambarus mobilensis","585","MGG_736_CO1"
"MT183584Lacunicambarus mobilensis voucher MGG_735_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441069","Lacunicambarus mobilensis","585","MGG_735_CO1"
"MT183583Lacunicambarus mobilensis voucher MGG_734_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441067","Lacunicambarus mobilensis","585","MGG_734_CO1"
"MT183579Lacunicambarus mobilensis voucher MGG_721_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441059","Lacunicambarus mobilensis","585","MGG_721_CO1"
"MT183578Lacunicambarus mobilensis voucher MGG_720_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441057","Lacunicambarus mobilensis","585","MGG_720_CO1"
"MT183575Lacunicambarus mobilensis voucher MGG_710_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441051","Lacunicambarus mobilensis","585","MGG_710_CO1"
"MT183574Lacunicambarus mobilensis voucher MGG_709_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441049","Lacunicambarus mobilensis","585","MGG_709_CO1"
"MT183573Lacunicambarus mobilensis voucher MGG_708_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441047","Lacunicambarus mobilensis","585","MGG_708_CO1"
"MT183607Lacunicambarus mobilensis voucher MGG_764_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441115","Lacunicambarus mobilensis","585","MGG_764_CO1"
"MT183606Lacunicambarus mobilensis voucher MGG_763_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441113","Lacunicambarus mobilensis","585","MGG_763_CO1"
"MT183605Lacunicambarus mobilensis voucher MGG_762_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441111","Lacunicambarus mobilensis","585","MGG_762_CO1"
"MT183604Lacunicambarus mobilensis voucher MGG_761_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441109","Lacunicambarus mobilensis","585","MGG_761_CO1"
"MT183596Lacunicambarus mobilensis voucher MGG_750_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441093","Lacunicambarus mobilensis","585","MGG_750_CO1"
"MT183595Lacunicambarus mobilensis voucher MGG_749_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441091","Lacunicambarus mobilensis","585","MGG_749_CO1"
"MT183594Lacunicambarus mobilensis voucher MGG_746_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441089","Lacunicambarus mobilensis","585","MGG_746_CO1"
"MT183593Lacunicambarus mobilensis voucher MGG_745_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441087","Lacunicambarus mobilensis","585","MGG_745_CO1"
"MT183590Lacunicambarus mobilensis voucher MGG_742_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441081","Lacunicambarus mobilensis","585","MGG_742_CO1"
"MT183589Lacunicambarus mobilensis voucher MGG_741_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441079","Lacunicambarus mobilensis","585","MGG_741_CO1"
"MT183586Lacunicambarus mobilensis voucher MGG_737_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441073","Lacunicambarus mobilensis","585","MGG_737_CO1"
"MT183585Lacunicambarus mobilensis voucher MGG_736_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441071","Lacunicambarus mobilensis","585","MGG_736_CO1"
"MT183584Lacunicambarus mobilensis voucher MGG_735_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441069","Lacunicambarus mobilensis","585","MGG_735_CO1"
"MT183583Lacunicambarus mobilensis voucher MGG_734_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441067","Lacunicambarus mobilensis","585","MGG_734_CO1"
"MT183579Lacunicambarus mobilensis voucher MGG_721_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441059","Lacunicambarus mobilensis","585","MGG_721_CO1"
"MT183578Lacunicambarus mobilensis voucher MGG_720_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441057","Lacunicambarus mobilensis","585","MGG_720_CO1"
"MT183575Lacunicambarus mobilensis voucher MGG_710_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441051","Lacunicambarus mobilensis","585","MGG_710_CO1"
"MT183574Lacunicambarus mobilensis voucher MGG_709_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441049","Lacunicambarus mobilensis","585","MGG_709_CO1"
"MT183573Lacunicambarus mobilensis voucher MGG_708_CO1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1820441047","Lacunicambarus mobilensis","585","MGG_708_CO1"
"EU583551Orconectes australis voucher JF3346 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914727","Orconectes australis","658","JF3346|USA: Limrock Blowing Cave, Alabama"
"EU583550Orconectes australis voucher JC1528 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914725","Orconectes australis","658","JC1528|USA: Pearson Spring Cave, Tennessee"
"EU583549Orconectes australis voucher JC1564 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914723","Orconectes australis","658","JC1564|USA: Woodlee Cave, Tennessee"
"EU583548Orconectes australis voucher JC1500 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914721","Orconectes australis","658","JC1500|USA: Blowing Cave, Tennessee"
"EU583547Orconectes australis voucher JF3420 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914719","Orconectes australis","658","JF3420|USA: Shelta Cave, Alabama"
"EU583546Orconectes australis voucher JC1205 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914717","Orconectes australis","658","JC1205|USA: Laurel Creek Cave, Tennessee"
"EU583545Orconectes australis voucher JC1216 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914715","Orconectes australis","658","JC1216|USA: Laurel Creek Cave, Tennessee"
"EU583544Orconectes australis voucher JC1440 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914713","Orconectes australis","658","JC1440|USA: Cumberland Caverns, Tennessee"
"EU583543Orconectes australis voucher JC1522 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914711","Orconectes australis","658","JC1522|USA: Rocky River Cave, Tennessee"
"EU583542Orconectes australis voucher JC1542 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914709","Orconectes australis","658","JC1542|USA: Waterfall Hollow Cave, Tennessee"
"EU583541Orconectes australis voucher JC1521 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914707","Orconectes australis","658","JC1521|USA: Rocky River Cave, Tennessee"
"EU583540Orconectes australis voucher JC1630 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914705","Orconectes australis","658","JC1630|USA: Rocky River Cave, Tennessee"
"EU583539Orconectes australis voucher JC1325 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914703","Orconectes australis","658","JC1325|USA: Lost Cove Cave, Tennessee"
"EU583538Orconectes australis voucher JC1519 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914701","Orconectes australis","658","JC1519|identical sequence also found in JC1508 and JC1507|USA: Floorless Cave, Tennessee and Witherspoon Cave, Tennessee"
"EU583537Orconectes australis voucher JC1546 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914699","Orconectes australis","658","JC1546|USA: Waterfall Hollow Cave, Tennessee"
"EU583536Orconectes australis voucher JC1977 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914697","Orconectes australis","658","JC1977|USA: Lusk Cave, Tennessee"
"EU583535Orconectes australis voucher JC1972 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914695","Orconectes australis","601","JC1972|identical sequence also found in JC1629 and JC1444|USA: Jaco Spring Cave, Tennessee, Rocky River Cave, Tennessee, and Cumberland Caverns, Tennessee"
"EU583534Orconectes australis voucher JC1312 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914693","Orconectes australis","658","JC1312|USA: Glencora Spring Cave, Tennessee"
"EU583533Orconectes australis voucher JF3424 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914691","Orconectes australis","658","JF3424|USA: Merrybranch Cave, Tennessee"
"EU583532Orconectes australis voucher JF3432 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914689","Orconectes australis","658","JF3432|identical sequence also found in JC1526, JC1447, and JC1334|USA: Merrybranch Cave, Tennessee, Camps Gulf Cave, Tennessee, Lost Creek Cave, Tennessee and Rumbling Falls Cave, Tennessee"
"EU583531Orconectes australis voucher JF3471 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914687","Orconectes australis","658","JF3471|USA: Merrybranch Cave, Tennessee"
"EU583530Orconectes australis voucher JF3459 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914685","Orconectes australis","658","JF3459|USA: Merrybranch Cave, Tennessee"
"EU583529Orconectes australis voucher JF3447 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914683","Orconectes australis","658","JF3447|USA: Merrybranch Cave, Tennessee"
"EU583528Orconectes australis voucher JF3428 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914681","Orconectes australis","634","JF3428|USA: Merrybranch Cave, Tennessee"
"EU583527Orconectes australis voucher JC350 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914679","Orconectes australis","658","JC350|USA: Virgin Falls Cave, Tennessee"
"EU583526Orconectes australis voucher JC1589 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914677","Orconectes australis","658","JC1589|USA: Winching Water Hollow Cave, Tennessee"
"EU583525Orconectes australis voucher JC1524 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914675","Orconectes australis","658","JC1524|USA: Rocky River Cave, Tennessee"
"EU583524Orconectes australis voucher JC1520 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914673","Orconectes australis","658","JC1520|USA: Rocky River Cave, Tennessee"
"EU583523Orconectes australis voucher JC1518 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914671","Orconectes australis","658","JC1518|USA: Lower Norton Springs Cave, Tennessee"
"EU583522Orconectes australis voucher JC1443 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914669","Orconectes australis","658","JC1443|USA: Cumberland Caverns, Tennessee"
"EU583521Orconectes australis voucher JC1213 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914667","Orconectes australis","658","JC1213|USA: Laurel Creek Cave, Tennessee"
"EU583520Orconectes australis voucher JC1373 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914665","Orconectes australis","658","JC1373|identical sequence also found in JC1343|USA: Capshaw Cave, Tennessee and Baileys Webb Cave, Tennessee"
"EU583519Orconectes australis voucher JF2817 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914663","Orconectes australis","658","JF2817|identical sequence also found in JC1348|USA: Blindfish Cave, Tennessee and Mill Hollow Cave, Tennessee"
"EU583518Orconectes australis voucher JF2820 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914661","Orconectes australis","658","JF2820|USA: Blindfish Cave, Tennessee"
"EU583517Orconectes australis voucher JF2819 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914659","Orconectes australis","658","JF2819|USA: Blindfish Cave, Tennessee"
"EU583516Orconectes australis voucher JC1566 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914657","Orconectes australis","658","JC1566|USA: Baileys Webb Cave, Tennessee"
"EU583515Orconectes australis voucher JC1383 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914655","Orconectes australis","658","JC1383|USA: Capshaw Cave, Tennessee"
"EU583514Orconectes australis voucher JC1380 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914653","Orconectes australis","658","JC1380|USA: Capshaw Cave, Tennessee"
"EU583513Orconectes australis voucher JC1374 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914651","Orconectes australis","658","JC1374|USA: Capshaw Cave, Tennessee"
"EU583512Orconectes australis voucher JC1352 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914649","Orconectes australis","627","JC1352|USA: Mill Hollow Cave, Tennessee"
"EU583511Orconectes australis voucher JC1318 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914647","Orconectes australis","658","JC1318|identical sequence also found in JC1309|USA: Fallen Entrance Cave, Tennessee and Skillmans Mark Cave, Tennessee"
"EU583510Orconectes australis voucher JF3437 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914645","Orconectes australis","658","JF3437|USA: Merrybranch Cave, Tennessee"
"EU583509Orconectes australis voucher JF3468 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914643","Orconectes australis","658","JF3468|USA: Merrybranch Cave, Tennessee"
"EU583508Orconectes australis voucher JC1192 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914641","Orconectes australis","658","JC1192|USA: Winching Water Hollow Cave, Tennessee"
"EU583507Orconectes australis voucher JC357 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914639","Orconectes australis","658","JC357|USA: Lott Dean Cave, Tennessee"
"EU583506Orconectes australis voucher JC358 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914637","Orconectes australis","658","JC358|USA: Lott Dean Cave, Tennessee"
"EU583505Orconectes australis voucher JC1978 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914635","Orconectes australis","658","JC1978|identical sequence also found in JC1976|USA: Lusk Cave, Tennessee"
"EU583504Orconectes australis voucher JF3341 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914633","Orconectes australis","658","JF3341|USA: Doug Green Cave, Alabama"
"AY701204Orconectes australis cytochrome oxidase subunit I-like (COI) gene, partial sequence; mitochondrial","58917853","Orconectes australis","1523",NA
"EF207162Orconectes australis voucher JF3473 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","146157712","Orconectes australis","705","JF3473"
"EF207161Orconectes australis voucher JC1563 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","146157710","Orconectes australis","705","JC1563"
"EU583573Orconectes barri voucher JC1639 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914771","Orconectes barri","658","JC1639|USA: Clinton Cave, Tennessee"
"EU583572Orconectes barri voucher JC343 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914769","Orconectes barri","658","JC343|USA: Cornstarch Cave, Tennessee"
"EU583571Orconectes barri voucher JC342 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914767","Orconectes barri","658","JC342|identical sequence also found in JC1516|USA: Cornstarch Cave, Tennessee and Red Bud Cave, Tennessee"
"EU583570Orconectes barri voucher JC346 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914765","Orconectes barri","658","JC346|USA: Cornstarch Cave, Tennessee"
"EU583569Orconectes barri voucher JC1341 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914763","Orconectes barri","658","JC1341|USA: Clinton Cave, Tennessee"
